edit_history_tweet_ids,id,text,withheld
['1597195656640307201'],1597195656640307201,RT @SkyNews: Monkeypox given new name by World Health Organisation - disease will now be called 'mpox' https://t.co/v9xMIrBQ39,
['1597196428408922117'],1597196428408922117,"@SkyNews Mmmpox, ba duba dop
Ba du bop, ba duba dop
Ba du bop, ba duba dop
Ba du, oh yeah
Mmmpox, ba duba dop
Ba du bop, ba du dop
Ba du bop, ba du dop
Ba du, yeah.",
['1597198345193525249'],1597198345193525249,RT @steIaric: https://t.co/AsbXsJmPOX,
['1597199406335676417'],1597199406335676417,#WHO hat entschieden: #Affenpocken heißen jetzt #Mpox,
['1597200316499656704'],1597200316499656704,RT @SkyNews: Monkeypox given new name by World Health Organisation - disease will now be called 'mpox' https://t.co/v9xMIrBQ39,
['1597201000196362240'],1597201000196362240,Mpox from now on https://t.co/lMi7LwDvrZ,
['1597202317190647809'],1597202317190647809,"RT @SkyNews: BREAKING: Monkeypox has been rebranded 'mpox' by the World Health Organisation.

""Both names will be used simultaneously for o…",
['1597203294468046853'],1597203294468046853,"RT @SkyNews: BREAKING: Monkeypox has been rebranded 'mpox' by the World Health Organisation.

""Both names will be used simultaneously for o…",
['1597203961349804039'],1597203961349804039,@SkyNews I'm still calling it Monkeypox. I still call Sellafield Windscale.,
['1597204686989561861'],1597204686989561861,"RT @pawinpawin: Monkeypox เปลี่ยนชื่อเป็น mpox แล้ว
ฝีดาษวานร จะเป็นฝีดาษว ฝีดาษล หรือฝีดาษเอ็ม ดีล่ะ",
['1597205102225260544'],1597205102225260544,Looking for a cure for monkey pox and 💩 markets. Send help. https://t.co/z7mzBVkD9q,
['1597206578620469249'],1597206578620469249,Tweet: 4gEj2fV097OQYpzlP7WKBwnPJ3okHk6Nqk7FimPoxe7vsSwMizJG0YAPrkRRiJel1GGzQ3 2022-11-28 12:31:37 +0000,
['1597206859626078208'],1597206859626078208,#WHO to use 'mpox' for monkeypox to fight stigma https://t.co/kyK4vNVUA6,
['1597208474429321216'],1597208474429321216,RT @Monkeypoxtally: The WHO finally changed the name designation of monkeypox to mpox after close to 6 months since the outbreak began with…,
['1597208520558284800'],1597208520558284800,Bom dia https://t.co/I9UlgfMPOx,
['1597210097616244736'],1597210097616244736,WHO said it was concerned by the “racist and stigmatizing language” that arose after monkeypox spread to more than 100 countries. It said numerous individuals and countries asked the organization “to propose a way forward to change the name.” https://t.co/rRRzMnFG9k,
['1597213490816880641'],1597213490816880641,WHO renames monkeypox as 'mpox' over racism concerns https://t.co/4fscOcg9Pe https://t.co/2V1pefIe7Q,
['1597215487318192128'],1597215487318192128,"RT @BernieSpofforth: WHO - After complaints from monkeys and monkey governments the WHO has confirmed monkeypox will now be called Mpox.

D…",
['1597215579571900419'],1597215579571900419,さかなさめと風男子を並べてせりさめと神を並べた https://t.co/3xmpOXlZb9,
['1597217215362740229'],1597217215362740229,"RT @business: The WHO recommends that the monkeypox virus be renamed ""mpox"" to avoid what it calls racist and stigmatizing language surroun…",
['1597217559304015874'],1597217559304015874,"RT @tv_asahi_news: 【速報】WHO「サル痘」の名称を今後「mpox（エムポックス）」にすると発表
https://t.co/9c2nle8e27",
['1597217827735621632'],1597217827735621632,"RT @sophielouisecc: The WHO has renamed monkey pox to Mpox due to racism concerns. 

They clearly have racist thoughts because none of us i…",
['1597218909874421764'],1597218909874421764,"RT @YahooNewsTopics: 【サル痘の新名称は「mpox」WHO】
https://t.co/3mcE27vL63",
['1597219253786066944'],1597219253786066944,"RT @livedoornews: 【WHO発表】サル痘の英語名称を「mpox（エム痘）」に変更
https://t.co/Kf5xnxReyB

現名称がもたらす“汚名”を回避する狙い。サル痘という名称は、研究用に飼育されていたサルから1958年にウイルスが検出されたことに由…",
['1597219950074400768'],1597219950074400768,RT @manopsi: WHO ประกาศเปลี่ยนชื่อไวรัส+โรคใหม่จาก monkeypox (ฝีดาษลิง) เป็น mpox เพื่อลดปัญหา stigmatization ช่วงนี้ใช้ทั้งสองชื่อคู่กันไป…,
['1597221036394962947'],1597221036394962947,Mpox. Mpox!! They're actually now trying to virtue signal in order to generate needless hysteria among the weak of mind. Preictably pathetic. https://t.co/0Kt5P9PXWa,
['1597221522912878592'],1597221522912878592,"RT @livedoornews: 【WHO発表】サル痘の英語名称を「mpox（エム痘）」に変更
https://t.co/Kf5xnxReyB

現名称がもたらす“汚名”を回避する狙い。サル痘という名称は、研究用に飼育されていたサルから1958年にウイルスが検出されたことに由…",
['1597221543905755137'],1597221543905755137,"RT @contagemcorona1: 🟠 Monkeypox agora será chamada de ""mpox"", de acordo com a OMS. Nova denominação visa ""retirar cunho racista da anterio…",
['1597223259371892738'],1597223259371892738,"@OurReneArtois2 There's a lot of numbers to choose from, diphtheria cases, typhoid, smallpox, monkey pox, tuberculosis, social housing waiting lists, hospital waiting lists, white girls thrown under the diversity bus, increase in crime rates, money laundering, trafficking, drug running, barbers.",
['1597223758476890112'],1597223758476890112,"DSÖ, maymun çiçeği virüsünün adını “Mpox” olarak değiştirecek https://t.co/7pTx88HsuM",
['1597224739936022529'],1597224739936022529,"Mmmpox ba duba dop Ba du pox, ba duba pox..... Etc https://t.co/ofGMCkvU6D https://t.co/jL829VN6Lr",
['1597225230669258757'],1597225230669258757,"RT @livedoornews: 【WHO発表】サル痘の英語名称を「mpox（エム痘）」に変更
https://t.co/Kf5xnxReyB

現名称がもたらす“汚名”を回避する狙い。サル痘という名称は、研究用に飼育されていたサルから1958年にウイルスが検出されたことに由…",
['1597225473943408640'],1597225473943408640,"サル痘の名称「mpox」に変更　WHO、動物福祉などへ配慮(朝日新聞デジタル)
#Yahooニュース
https://t.co/2IC38fxsW2",
['1597225696262516736'],1597225696262516736,"RT @chim0m: BTW, it’s no surprise the monkeypox cases disappeared once reports of toddlers and pets getting it started coming out.",
['1597225985664946176'],1597225985664946176,"RT @livedoornews: 【WHO発表】サル痘の英語名称を「mpox（エム痘）」に変更
https://t.co/Kf5xnxReyB

現名称がもたらす“汚名”を回避する狙い。サル痘という名称は、研究用に飼育されていたサルから1958年にウイルスが検出されたことに由…",
['1597227810191708161'],1597227810191708161,"RT @EFEnoticias: La OMS rebautiza la viruela del mono como ""mpox"" para evitar estigmatización. https://t.co/ZMIZZnnpCd",
['1597228300904333313'],1597228300904333313,Monkeypox given new name by World Health Organisation - disease will now be called 'mpox' https://t.co/3bzNsuCZUk Racism is in the eye of the beholder. What exactly is wrong with monkeypox. I'll be sticking with monkeypox.,
['1597228804212019200'],1597228804212019200,"RT @sophielouisecc: The WHO has renamed monkey pox to Mpox due to racism concerns. 

They clearly have racist thoughts because none of us i…",
['1597228854552059904'],1597228854552059904,Monkeypox given new name by global health experts https://t.co/sf90j7XWZh,
['1597231752845881344'],1597231752845881344,RT @QuitByVaping: WHO is renaming Monkey Pox  but CDC stillrefuses to rename EVALI. Why? Are monkeys nore important than people who smoke?…,
['1597232751073103872'],1597232751073103872,RT @_ppmv: Monkeypox* is airborne. As is SARS. The west failed because it politicized masks and PPE for COVID-19. Yet WHO guidance is simpl…,
['1597233183078203392'],1597233183078203392,"WHO Renames Monkeypox As Mpox, Citing Racism Concerns

#MONKEYPOX

https://t.co/AUMOIglO5g",
['1597233451517689857'],1597233451517689857,"RT @diariopanorama: La  OMS anunció este lunes 28-N  que rebautizará la viruela del mono con el nombre de ""mpox"", para evitar comentarios r…",
['1597234344892203008'],1597234344892203008,"RT @gztcom: Monkeypox ✖️ Mpox✔️

DSÖ, maymun çiçeği (Monkeypox) virüsünün adını, ırkçı ve yaftalayıcı dilden uzak durmak için ""Mpox"" olarak…",
['1597235754178347012'],1597235754178347012,"RT @tr_hbr: 🔴 DSÖ, maymun çiçeği virüsünün adını 'Mpox' olarak değiştirecek: DSÖ, ırkçı ve yaftalayıcı dilden uzak durmak için maymun çiçeğ…",
['1597236999882412034'],1597236999882412034,"RT @RealTimeCOVID19: ICYMI @IDSAInfo @CDCgov Clinician Call 

- #COVID19 Subvariants
- Future of #Monoclonal Antibodies
- #Monkeypox Update…",
['1597237780027146240'],1597237780027146240,RT @manopsi: WHO ประกาศเปลี่ยนชื่อไวรัส+โรคใหม่จาก monkeypox (ฝีดาษลิง) เป็น mpox เพื่อลดปัญหา stigmatization ช่วงนี้ใช้ทั้งสองชื่อคู่กันไป…,
['1597238144931606528'],1597238144931606528,"RT @BernieSpofforth: WHO - After complaints from monkeys and monkey governments the WHO has confirmed monkeypox will now be called Mpox.

D…",
['1597238828624138241'],1597238828624138241,RT @axios: The WHO is renaming monkeypox as mpox due to concerns that the original name could be perceived as racist or stigmatizing.  http…,
['1597240556677042177'],1597240556677042177,"RT @GBNEWS: WHO rename Monkeypox because of 'racist’ and 'stigmatising' language

https://t.co/mkS4jNEEDw",
['1597241819166740482'],1597241819166740482,"OMS renombra a la viruela del mono.
Pasa a llamarse ahora, en todos los idiomas, ""mpox"". La medida busca evitar estigmatizaciones, comentarios racistas y confusiones. #Noticiasi99 https://t.co/LHepfYSPFi",
['1597242238584909824'],1597242238584909824,"RT @bsindia: The World Health Organisation has renamed monkeypox as mpox, citing concerns the original name of the decades-old animal disea…",
['1597243060689113088'],1597243060689113088,RT @Fred_Colby: C’est officiel. l’OMS rebaptise le #Monkeypox en #Mpox. Il va falloir aussi que les médias français cesse de dire et écrire…,
['1597244365080252417'],1597244365080252417,RT @tony_como: Monkey Pox is to be “Re-branded” “M-Pox” as it may be “racist and stigmatising”  No doubt bought to you by the geniuses who…,
